,disease,hist_lncRNA,pre_hist_lncRNA,value,len_hist_disease,len_pre_hist_lncRNA
199,Hepatoma,"['NUTM2A-AS1', 'H19', 'NEAT1', 'ESAM-AS1', 'LINC00662', 'TMEM147-AS1', 'LINC00665', 'ZNF793-AS1', 'MAP4K3-DT', 'PCBP1-AS1', 'CYTOR', 'TTN-AS1', 'LINC01238', 'TRPM2-AS', 'TTC28-AS1', 'FGD5-AS1', 'MAGI1-IT1', 'LINC00960', 'DUBR', 'DLG1-AS1', 'CTBP1-DT', 'LINC02466', 'HCG18', 'HOTAIRM1', 'EPHA1-AS1', 'LINC00996', 'RNF139-DT', 'ZNF252P-AS1', 'SNHG7', 'XIST', 'LINC00630', 'LINC00894']","['LINC00630', 'AGBL4-IT1', 'TMPO-AS1', 'MUC20-OT1', 'KRTAP5-AS1', 'RASA3-IT1', 'CEROX1', 'LINC02397', 'ESAM-AS1', 'SNHG12', 'DISP1', 'UBL7-DT', 'MELTF-AS1', 'LINC01783', 'SORL1-AS1', 'MIR3936HG', 'LINC02820', 'CHROMR', 'LINC00242', 'GNAS-AS1', 'THUMPD3-AS1', 'SNHG20', 'OXR1', 'ATP6V1B1-AS1', 'SNHG6', 'KTN1-AS1', 'PCF11-AS1', 'MEG8', 'HOXA10-AS', 'PRMT5-DT', 'LINC01689', 'LINC00882', 'LINC01915', 'LINC-PINT', 'PRR7-AS1', 'MAP4K3-DT', 'LINC00511', 'TTC28-AS1', 'SNHG29', 'TSPOAP1-AS1', 'SNHG15', 'FGD5-AS1', 'RNF139-DT', 'PSMA3-AS1', 'LINC00525', 'SCARNA9', 'LINC00960', 'LINC01703', 'ZNF790-AS1', 'LINC00661']",7,32,50
200,Her2-receptor positive breast cancer,"['DISP1', 'H19', 'NEAT1', 'C1RL-AS1', 'RASSF8-AS1', 'LINC00641', 'LINC01806', 'MCM3AP-AS1', 'XIST']","['LINC00630', 'AGBL4-IT1', 'TMPO-AS1', 'MUC20-OT1', 'KRTAP5-AS1', 'RASA3-IT1', 'CEROX1', 'LINC02397', 'ESAM-AS1', 'SNHG12', 'DISP1', 'UBL7-DT', 'MELTF-AS1', 'LINC01783', 'SORL1-AS1', 'MIR3936HG', 'LINC02820', 'CHROMR', 'LINC00242', 'GNAS-AS1', 'THUMPD3-AS1', 'SNHG20', 'OXR1', 'ATP6V1B1-AS1', 'SNHG6', 'KTN1-AS1', 'PCF11-AS1', 'MEG8', 'HOXA10-AS', 'PRMT5-DT', 'LINC01689', 'LINC00882', 'LINC01915', 'LINC-PINT', 'PRR7-AS1', 'MAP4K3-DT', 'LINC00511', 'TTC28-AS1', 'SNHG29', 'TSPOAP1-AS1', 'SNHG15', 'FGD5-AS1', 'RNF139-DT', 'PSMA3-AS1', 'LINC00525', 'SCARNA9', 'LINC00960', 'LINC01703', 'ZNF790-AS1', 'LINC00661']",1,9,50
201,Hereditary neutrophilia,"['GAS5', 'INTS6-AS1', 'MIR17HG', 'OIP5-AS1', 'IGFL2-AS1', 'FGD5-AS1', 'HOXA11-AS', 'MAGI2-AS3', 'SNHG29']","['LINC00630', 'AGBL4-IT1', 'MUC20-OT1', 'TMPO-AS1', 'RASA3-IT1', 'CEROX1', 'KRTAP5-AS1', 'LINC02397', 'DISP1', 'ESAM-AS1', 'SNHG12', 'UBL7-DT', 'MELTF-AS1', 'SORL1-AS1', 'LINC01783', 'MIR3936HG', 'LINC02820', 'LINC00242', 'GNAS-AS1', 'CHROMR', 'THUMPD3-AS1', 'SNHG20', 'OXR1', 'ATP6V1B1-AS1', 'SNHG6', 'KTN1-AS1', 'MEG8', 'PCF11-AS1', 'HOXA10-AS', 'PRMT5-DT', 'LINC01689', 'LINC01915', 'LINC00882', 'MAP4K3-DT', 'LINC-PINT', 'PRR7-AS1', 'LINC00511', 'TTC28-AS1', 'SNHG29', 'TSPOAP1-AS1', 'SNHG15', 'LINC01703', 'FGD5-AS1', 'LINC00960', 'PSMA3-AS1', 'LINC00525', 'RNF139-DT', 'SCARNA9', 'LINC00661', 'ZNF790-AS1']",2,9,50
202,Hereditary spastic paraplegia,"['PINK1-AS', 'SNHG3', 'WARS2-AS1', 'PRKCQ-AS1', 'WAC-AS1', 'ENTPD1-AS1', 'LBX1-AS1', 'SNHG1', 'C1RL-AS1', 'LINC02457', 'LINC00173', 'ARHGAP27P1-BPTFP1-KPNA2P3', 'SNHG16', 'HAGLR', 'PELATON', 'EBLN3P', 'XIST']","['LINC00630', 'AGBL4-IT1', 'TMPO-AS1', 'MUC20-OT1', 'KRTAP5-AS1', 'RASA3-IT1', 'CEROX1', 'LINC02397', 'ESAM-AS1', 'SNHG12', 'DISP1', 'UBL7-DT', 'MELTF-AS1', 'LINC01783', 'SORL1-AS1', 'MIR3936HG', 'LINC02820', 'CHROMR', 'LINC00242', 'GNAS-AS1', 'THUMPD3-AS1', 'SNHG20', 'OXR1', 'ATP6V1B1-AS1', 'SNHG6', 'PCF11-AS1', 'KTN1-AS1', 'MEG8', 'HOXA10-AS', 'PRMT5-DT', 'LINC01689', 'LINC00882', 'LINC01915', 'PRR7-AS1', 'LINC-PINT', 'MAP4K3-DT', 'LINC00511', 'TTC28-AS1', 'SNHG29', 'TSPOAP1-AS1', 'SNHG15', 'FGD5-AS1', 'RNF139-DT', 'LINC00525', 'PSMA3-AS1', 'LINC00960', 'SCARNA9', 'LINC01703', 'ZNF790-AS1', 'LINC00661']",0,17,50
203,Hilar cholangiocarcinoma,"['MIR181A1HG', 'USP2-AS1', 'MIR17HG', 'ARHGAP27P1-BPTFP1-KPNA2P3', 'SNHG16', 'SNHG20', 'ZNF790-AS1', 'FGD5-AS1', 'MAGI1-IT1', 'TENM3-AS1', 'LINC01194', 'HCG18', 'HOXA-AS2', 'ZNNT1', 'EBLN3P', 'XIST', 'COX10-AS1']","['LINC00630', 'AGBL4-IT1', 'MUC20-OT1', 'RASA3-IT1', 'TMPO-AS1', 'CEROX1', 'KRTAP5-AS1', 'DISP1', 'LINC02397', 'ESAM-AS1', 'SNHG12', 'UBL7-DT', 'SORL1-AS1', 'MELTF-AS1', 'LINC01783', 'MIR3936HG', 'LINC02820', 'GNAS-AS1', 'LINC00242', 'THUMPD3-AS1', 'CHROMR', 'SNHG20', 'OXR1', 'ATP6V1B1-AS1', 'SNHG6', 'MEG8', 'KTN1-AS1', 'HOXA10-AS', 'PCF11-AS1', 'PRMT5-DT', 'LINC01689', 'LINC01915', 'LINC00882', 'MAP4K3-DT', 'LINC-PINT', 'LINC00511', 'PRR7-AS1', 'TTC28-AS1', 'LINC01703', 'SNHG29', 'TSPOAP1-AS1', 'FGD5-AS1', 'SNHG15', 'LINC00960', 'PSMA3-AS1', 'LINC00525', 'SCARNA9', 'RNF139-DT', 'LINC00661', 'ZNF790-AS1']",3,17,50
204,Hirschsprung disease,"['LINC00339', 'SNHG12', 'ERI3-IT1', 'RASAL2-AS1', 'NUTM2B-AS1', 'NUTM2A-AS1', 'EDRF1-DT', 'SNHG1', 'ESAM-AS1', 'NINJ2-AS1', 'C1RL-AS1', 'HOTAIR', 'LINC01089', 'LINC00641', 'G2E3-AS1', 'PRKCH-AS1', 'MEG8', 'SNHG14', 'IQCH-AS1', 'ALDH1A3-AS1', 'LINC00511', 'SNHG16', 'LINC00482', 'LINC00662', 'MZF1-AS1', 'TEX41', 'CERS6-AS1', 'TTN-AS1', 'LINC00649', 'TRPM2-AS', 'MCM3AP-AS1', 'FGD5-AS1', 'DLG1-AS1', 'CTBP1-DT', 'UBA6-DT', 'TENM3-AS1', 'LINC01184', 'HCG17', 'HCG18', 'TRAF3IP2-AS1', 'LINC00242', 'GARS1-DT', 'RNF139-DT', 'PVT1', 'XIST', 'LINC00894', 'FENDRR', 'ZNF232-AS1', 'MIR497HG', 'COX10-AS1', 'ERVK13-1']","['CAPN10-DT', 'OGFRP1', 'DLG1-AS1', 'DUXAP8', 'LINC00894', 'NUTM2A-AS1', 'ZFHX2-AS1', 'LEMD1-AS1', 'DLEU2', 'LINC00662', 'FOXN3-AS1', 'RASSF8-AS1', 'NR2F1-AS1', 'ENTPD1-AS1', 'LINC02802', 'OLMALINC', 'ALDH1A3-AS1', 'EPHA1-AS1', 'GAS5', 'LINC00663', 'ERVK13-1', 'NUP50-DT', 'RAB30-DT', 'ARHGAP27P1-BPTFP1-KPNA2P3', 'LINC00461', 'MIR600HG', 'LINC01070', 'JPX', 'ZNF503-AS2', 'LINC01806', 'SNHG5', 'MIR133A1HG', 'ZNF407-AS1', 'AP1AR-DT', 'EIF3J-DT', 'LINC01679', 'COL4A2-AS2', 'LINC00649', 'SOX9-AS1', 'H1-10-AS1', 'NIFK-AS1', 'TOB1-AS1', 'LINC02086', 'GIHCG', 'DNAJC3-DT', 'EDRF1-DT', 'MATN1-AS1', 'NINJ2-AS1', 'ZNF213-AS1', 'SRGAP3-AS2']",9,51,50
205,Hodgkin disease,"['LINC01772', 'LINC02802', 'LEMD1-AS1', 'NINJ2-AS1', 'C1RL-AS1', 'MIR17HG', 'OIP5-AS1', 'ZNF407-AS1', 'CYTOR', 'TTN-AS1', 'LINC02891', 'NUP50-DT', 'LINC02085', 'CTBP1-DT', 'HCG18', 'XIST']","['LINC00630', 'MUC20-OT1', 'RASA3-IT1', 'AGBL4-IT1', 'TMPO-AS1', 'CEROX1', 'KRTAP5-AS1', 'DISP1', 'LINC02397', 'ESAM-AS1', 'SNHG12', 'SORL1-AS1', 'UBL7-DT', 'MELTF-AS1', 'MIR3936HG', 'LINC01783', 'GNAS-AS1', 'LINC02820', 'LINC00242', 'THUMPD3-AS1', 'CHROMR', 'SNHG20', 'OXR1', 'ATP6V1B1-AS1', 'MEG8', 'SNHG6', 'KTN1-AS1', 'HOXA10-AS', 'PCF11-AS1', 'LINC01689', 'LINC01915', 'PRMT5-DT', 'LINC00882', 'MAP4K3-DT', 'LINC01703', 'LINC-PINT', 'LINC00511', 'PRR7-AS1', 'SNHG29', 'TTC28-AS1', 'TSPOAP1-AS1', 'FGD5-AS1', 'SNHG15', 'LINC00960', 'PSMA3-AS1', 'LINC00661', 'SCARNA9', 'LINC00525', 'RNF139-DT', 'ZNF790-AS1']",0,16,50
206,Hodgkin lymphoma,"['LINC01772', 'SNHG3', 'ERI3-IT1', 'LINC02802', 'GAS5', 'LEMD1-AS1', 'NUTM2A-AS1', 'OLMALINC', 'C10orf95-AS1', 'NEAT1', 'PCF11-AS1', 'ANKRD42-DT', 'NINJ2-AS1', 'C1RL-AS1', 'KLRK1-AS1', 'MIR17HG', 'DHRS4-AS1', 'G2E3-AS1', 'OIP5-AS1', 'ARHGAP27P1-BPTFP1-KPNA2P3', 'SNHG16', 'LINC01915', 'ZNF407-AS1', 'LINC00662', 'LINC00665', 'A1BG-AS1', 'MAP4K3-DT', 'PCBP1-AS1', 'CYTOR', 'TTN-AS1', 'LINC01238', 'APCDD1L-DT', 'GNAS-AS1', 'LINC00313', 'MCM3AP-AS1', 'LINC02891', 'NUP50-DT', 'MAGI1-IT1', 'LINC02085', 'CTBP1-DT', 'TAPT1-AS1', 'LINC02466', 'PURPL', 'TMEM161B-DT', 'LINC01184', 'HCG18', 'HOXA11-AS', 'SNHG15', 'LINC00996', 'TNFRSF10A-DT', 'OXR1', 'PVT1', 'ZNF252P-AS1', 'CDKN2B-AS1', 'EBLN3P', 'LINC00963', 'SNHG7', 'XIST', 'LINC00893', 'LINC00894', 'FENDRR']","['LINC00630', 'AGBL4-IT1', 'TMPO-AS1', 'MUC20-OT1', 'KRTAP5-AS1', 'LINC02397', 'CEROX1', 'RASA3-IT1', 'ESAM-AS1', 'SNHG12', 'UBL7-DT', 'LINC01783', 'DISP1', 'MELTF-AS1', 'CHROMR', 'LINC02820', 'MIR3936HG', 'LINC00242', 'SORL1-AS1', 'THUMPD3-AS1', 'GNAS-AS1', 'SNHG20', 'OXR1', 'ATP6V1B1-AS1', 'SNHG6', 'PCF11-AS1', 'KTN1-AS1', 'PRMT5-DT', 'HOXA10-AS', 'MEG8', 'PRR7-AS1', 'LINC01689', 'LINC-PINT', 'LINC00882', 'MAP4K3-DT', 'LINC01915', 'LINC00511', 'TTC28-AS1', 'SNHG15', 'TSPOAP1-AS1', 'SNHG29', 'RNF139-DT', 'FGD5-AS1', 'LINC00525', 'PSMA3-AS1', 'SCARNA9', 'LINC00960', 'ZNF790-AS1', 'LINC02891', 'LINC01227']",7,61,50
207,Hormone-refractory prostate carcinoma,"['NEAT1', 'SNHG16', 'TICAM2-AS1', 'HCG18', 'OXR1', 'EBLN3P', 'SNHG7', 'XIST']","['LINC00630', 'AGBL4-IT1', 'MUC20-OT1', 'TMPO-AS1', 'RASA3-IT1', 'CEROX1', 'KRTAP5-AS1', 'LINC02397', 'DISP1', 'ESAM-AS1', 'SNHG12', 'UBL7-DT', 'MELTF-AS1', 'SORL1-AS1', 'LINC01783', 'MIR3936HG', 'LINC02820', 'LINC00242', 'GNAS-AS1', 'CHROMR', 'THUMPD3-AS1', 'SNHG20', 'OXR1', 'ATP6V1B1-AS1', 'SNHG6', 'KTN1-AS1', 'MEG8', 'PCF11-AS1', 'HOXA10-AS', 'PRMT5-DT', 'LINC01689', 'LINC01915', 'LINC00882', 'MAP4K3-DT', 'LINC-PINT', 'PRR7-AS1', 'LINC00511', 'TTC28-AS1', 'SNHG29', 'TSPOAP1-AS1', 'LINC01703', 'SNHG15', 'FGD5-AS1', 'LINC00960', 'PSMA3-AS1', 'LINC00525', 'SCARNA9', 'RNF139-DT', 'LINC00661', 'ZNF790-AS1']",1,8,50
208,Huntington disease,"['LINC01654', 'SNHG3', 'MATN1-AS1', 'GAS5', 'H19', 'NEAT1', 'USP2-AS1', 'LINC00641', 'PRMT5-DT', 'ZFHX2-AS1', 'RAD51-AS1', 'OIP5-AS1', 'ARHGAP27P1-BPTFP1-KPNA2P3', 'LINC00511', 'SNHG16', 'SNHG20', 'LINC00661', 'LINC00665', 'MZF1-AS1', 'MAP4K3-DT', 'PCBP1-AS1', 'LINC01238', 'MIAT', 'THUMPD3-AS1', 'FGD5-AS1', 'MAGI1-IT1', 'LINC00882', 'NOP14-AS1', 'LINC02466', 'LIFR-AS1', 'TICAM2-AS1', 'HCG18', 'HCP5', 'SNHG5', 'HOXA-AS3', 'HOXA10-AS', 'GARS1-DT', 'LINC00996', 'UBR5-DT', 'OXR1', 'LINC02878', 'ZNF252P-AS1', 'EBLN3P', 'LINC00963', 'SNHG7', 'XIST', 'LINC00893', 'LINC00894', 'ZNF232-AS1', 'COX10-AS1', 'LINC01270']","['LINC00630', 'AGBL4-IT1', 'TMPO-AS1', 'MUC20-OT1', 'KRTAP5-AS1', 'RASA3-IT1', 'CEROX1', 'LINC02397', 'ESAM-AS1', 'SNHG12', 'DISP1', 'UBL7-DT', 'MELTF-AS1', 'LINC01783', 'SORL1-AS1', 'MIR3936HG', 'LINC02820', 'CHROMR', 'LINC00242', 'GNAS-AS1', 'THUMPD3-AS1', 'SNHG20', 'OXR1', 'ATP6V1B1-AS1', 'SNHG6', 'PCF11-AS1', 'KTN1-AS1', 'MEG8', 'HOXA10-AS', 'PRMT5-DT', 'LINC01689', 'LINC00882', 'LINC01915', 'PRR7-AS1', 'LINC-PINT', 'MAP4K3-DT', 'LINC00511', 'TTC28-AS1', 'SNHG29', 'SNHG15', 'TSPOAP1-AS1', 'FGD5-AS1', 'RNF139-DT', 'LINC00525', 'PSMA3-AS1', 'SCARNA9', 'LINC00960', 'LINC01703', 'ZNF790-AS1', 'LINC00661']",10,51,50
209,Hyaloideoretinal degeneration of wagner,"['SNHG1', 'CARD8-AS1', 'LINC01184', 'FAM201A', 'XIST']","['LINC00630', 'AGBL4-IT1', 'MUC20-OT1', 'TMPO-AS1', 'RASA3-IT1', 'KRTAP5-AS1', 'CEROX1', 'LINC02397', 'ESAM-AS1', 'SNHG12', 'DISP1', 'UBL7-DT', 'MELTF-AS1', 'LINC01783', 'SORL1-AS1', 'MIR3936HG', 'LINC02820', 'CHROMR', 'LINC00242', 'GNAS-AS1', 'THUMPD3-AS1', 'SNHG20', 'OXR1', 'ATP6V1B1-AS1', 'SNHG6', 'KTN1-AS1', 'PCF11-AS1', 'MEG8', 'HOXA10-AS', 'PRMT5-DT', 'LINC01689', 'LINC00882', 'LINC01915', 'LINC-PINT', 'MAP4K3-DT', 'PRR7-AS1', 'LINC00511', 'TTC28-AS1', 'SNHG29', 'TSPOAP1-AS1', 'SNHG15', 'FGD5-AS1', 'LINC00960', 'RNF139-DT', 'LINC00525', 'PSMA3-AS1', 'SCARNA9', 'LINC01703', 'ZNF790-AS1', 'LINC00661']",0,5,50
210,Hypertension,"['LINC01772', 'DHCR24-DT', 'LINC02802', 'LEMD1-AS1', 'DISP1', 'NUTM2B-AS1', 'EDRF1-DT', 'KRTAP5-AS1', 'SNHG1', 'NEAT1', 'NINJ2-AS1', 'C1RL-AS1', 'LINC01089', 'TPT1-AS1', 'DLEU2', 'MIR4500HG', 'MIR17HG', 'KTN1-AS1', 'OIP5-AS1', 'SOX9-AS1', 'SNHG16', 'ZNF407-AS1', 'TMEM147-AS1', 'CARD8-AS1', 'CYTOR', 'HAGLR', 'CHROMR', 'TTN-AS1', 'LINC02891', 'MIATNB', 'NUP50-DT', 'FGD5-AS1', 'PTPRG-AS1', 'LINC02085', 'CTBP1-DT', 'THAP9-AS1', 'AP1AR-DT', 'LINC01184', 'HCG18', 'SNHG5', 'LINC00525', 'SLC26A4-AS1', 'FAM201A', 'XIST', 'FENDRR']","['LINC00630', 'AGBL4-IT1', 'MUC20-OT1', 'RASA3-IT1', 'TMPO-AS1', 'CEROX1', 'KRTAP5-AS1', 'DISP1', 'LINC02397', 'ESAM-AS1', 'SNHG12', 'UBL7-DT', 'SORL1-AS1', 'MELTF-AS1', 'LINC01783', 'MIR3936HG', 'LINC02820', 'GNAS-AS1', 'LINC00242', 'THUMPD3-AS1', 'CHROMR', 'SNHG20', 'OXR1', 'ATP6V1B1-AS1', 'SNHG6', 'MEG8', 'KTN1-AS1', 'HOXA10-AS', 'PCF11-AS1', 'PRMT5-DT', 'LINC01689', 'LINC01915', 'LINC00882', 'MAP4K3-DT', 'LINC-PINT', 'LINC00511', 'PRR7-AS1', 'TTC28-AS1', 'LINC01703', 'SNHG29', 'TSPOAP1-AS1', 'FGD5-AS1', 'SNHG15', 'LINC00960', 'PSMA3-AS1', 'LINC00525', 'SCARNA9', 'RNF139-DT', 'LINC00661', 'ZNF790-AS1']",6,45,50
211,Hypertrophic cardiomyopathy,['SNHG15'],"['LINC00630', 'AGBL4-IT1', 'MUC20-OT1', 'TMPO-AS1', 'RASA3-IT1', 'KRTAP5-AS1', 'CEROX1', 'LINC02397', 'ESAM-AS1', 'DISP1', 'SNHG12', 'UBL7-DT', 'MELTF-AS1', 'LINC01783', 'SORL1-AS1', 'MIR3936HG', 'LINC02820', 'CHROMR', 'LINC00242', 'GNAS-AS1', 'THUMPD3-AS1', 'SNHG20', 'OXR1', 'ATP6V1B1-AS1', 'SNHG6', 'KTN1-AS1', 'PCF11-AS1', 'MEG8', 'HOXA10-AS', 'PRMT5-DT', 'LINC01689', 'LINC00882', 'LINC01915', 'MAP4K3-DT', 'LINC-PINT', 'PRR7-AS1', 'LINC00511', 'TTC28-AS1', 'SNHG29', 'TSPOAP1-AS1', 'SNHG15', 'FGD5-AS1', 'LINC00960', 'RNF139-DT', 'PSMA3-AS1', 'LINC00525', 'LINC01703', 'SCARNA9', 'LINC00661', 'ZNF790-AS1']",1,1,50
212,Hypertrophy,"['FGD5-AS1', 'HCG18']","['LINC00630', 'RASA3-IT1', 'MUC20-OT1', 'AGBL4-IT1', 'CEROX1', 'TMPO-AS1', 'KRTAP5-AS1', 'DISP1', 'LINC02397', 'ESAM-AS1', 'SNHG12', 'SORL1-AS1', 'UBL7-DT', 'MELTF-AS1', 'MIR3936HG', 'LINC01783', 'GNAS-AS1', 'LINC02820', 'LINC00242', 'THUMPD3-AS1', 'CHROMR', 'SNHG20', 'ATP6V1B1-AS1', 'OXR1', 'MEG8', 'KTN1-AS1', 'SNHG6', 'HOXA10-AS', 'PCF11-AS1', 'LINC01915', 'LINC01689', 'PRMT5-DT', 'LINC00882', 'LINC01703', 'MAP4K3-DT', 'LINC00511', 'LINC-PINT', 'SNHG29', 'TTC28-AS1', 'PRR7-AS1', 'TSPOAP1-AS1', 'FGD5-AS1', 'LINC00960', 'SNHG15', 'LINC00661', 'PSMA3-AS1', 'SCARNA9', 'LINC00525', 'RNF139-DT', 'LINC02616']",1,2,50
213,Hypertrophy left ventricular,"['FGD5-AS1', 'HCG18']","['LINC00630', 'MUC20-OT1', 'AGBL4-IT1', 'RASA3-IT1', 'TMPO-AS1', 'CEROX1', 'KRTAP5-AS1', 'DISP1', 'LINC02397', 'ESAM-AS1', 'SNHG12', 'UBL7-DT', 'SORL1-AS1', 'MELTF-AS1', 'MIR3936HG', 'LINC01783', 'LINC02820', 'GNAS-AS1', 'LINC00242', 'THUMPD3-AS1', 'CHROMR', 'SNHG20', 'OXR1', 'ATP6V1B1-AS1', 'MEG8', 'SNHG6', 'KTN1-AS1', 'HOXA10-AS', 'PCF11-AS1', 'LINC01689', 'PRMT5-DT', 'LINC01915', 'LINC00882', 'MAP4K3-DT', 'LINC-PINT', 'LINC00511', 'LINC01703', 'PRR7-AS1', 'TTC28-AS1', 'SNHG29', 'TSPOAP1-AS1', 'FGD5-AS1', 'SNHG15', 'LINC00960', 'PSMA3-AS1', 'SCARNA9', 'LINC00525', 'LINC00661', 'RNF139-DT', 'ZNF790-AS1']",1,2,50
214,Hypopharyngeal carcinoma,"['TDRKH-AS1', 'PRKCQ-AS1', 'H19', 'SBF2-AS1', 'SNHG1', 'DHRS4-AS1', 'OIP5-AS1', 'SNHG16', 'SNHG20', 'LRRTM4-AS1', 'HCP5', 'XIST', 'LINC00894']","['CAPN10-DT', 'OGFRP1', 'DUXAP8', 'LINC00894', 'LEMD1-AS1', 'NUTM2A-AS1', 'ZFHX2-AS1', 'DLEU2', 'LINC00662', 'DLG1-AS1', 'FOXN3-AS1', 'RASSF8-AS1', 'NR2F1-AS1', 'ENTPD1-AS1', 'ALDH1A3-AS1', 'GAS5', 'LINC02802', 'OLMALINC', 'LINC00663', 'EPHA1-AS1', 'ERVK13-1', 'NUP50-DT', 'ARHGAP27P1-BPTFP1-KPNA2P3', 'LINC00461', 'ZNF503-AS2', 'LINC01070', 'MIR600HG', 'RAB30-DT', 'JPX', 'ZNF407-AS1', 'LINC01806', 'AP1AR-DT', 'MIR133A1HG', 'SNHG5', 'EIF3J-DT', 'COL4A2-AS2', 'LINC02466', 'SOX9-AS1', 'H1-10-AS1', 'LINC00485', 'GIHCG', 'LINC00649', 'LINC01679', 'CCDC18-AS1', 'ZRANB2-AS2', 'NIFK-AS1', 'HCG17', 'TOB1-AS1', 'ZNF213-AS1', 'EDRF1-DT']",1,13,50
215,Hypopharyngeal squamous cell carcinoma,"['TDRKH-AS1', 'PRKCQ-AS1', 'H19', 'SBF2-AS1', 'SNHG1', 'DHRS4-AS1', 'OIP5-AS1', 'SNHG16', 'SNHG20', 'LRRTM4-AS1', 'HCP5', 'XIST', 'LINC00894']","['LINC00630', 'AGBL4-IT1', 'TMPO-AS1', 'MUC20-OT1', 'KRTAP5-AS1', 'RASA3-IT1', 'CEROX1', 'LINC02397', 'ESAM-AS1', 'SNHG12', 'UBL7-DT', 'DISP1', 'MELTF-AS1', 'LINC01783', 'SORL1-AS1', 'LINC02820', 'MIR3936HG', 'CHROMR', 'LINC00242', 'GNAS-AS1', 'THUMPD3-AS1', 'SNHG20', 'OXR1', 'ATP6V1B1-AS1', 'SNHG6', 'PCF11-AS1', 'KTN1-AS1', 'PRMT5-DT', 'HOXA10-AS', 'MEG8', 'LINC01689', 'LINC00882', 'PRR7-AS1', 'LINC-PINT', 'LINC01915', 'MAP4K3-DT', 'LINC00511', 'TTC28-AS1', 'SNHG15', 'TSPOAP1-AS1', 'SNHG29', 'FGD5-AS1', 'RNF139-DT', 'LINC00525', 'PSMA3-AS1', 'SCARNA9', 'LINC00960', 'ZNF790-AS1', 'LINC01703', 'LINC00661']",1,13,50
216,Hypoxia,"['SNHG3', 'GAS5', 'H19', 'ARHGAP27P1-BPTFP1-KPNA2P3', 'SNHG16', 'FGD5-AS1', 'HCG18', 'HOXA10-AS', 'UBR5-DT', 'XIST']","['LINC00630', 'RASA3-IT1', 'MUC20-OT1', 'AGBL4-IT1', 'CEROX1', 'TMPO-AS1', 'KRTAP5-AS1', 'DISP1', 'LINC02397', 'ESAM-AS1', 'SNHG12', 'SORL1-AS1', 'UBL7-DT', 'MELTF-AS1', 'MIR3936HG', 'LINC01783', 'GNAS-AS1', 'LINC02820', 'LINC00242', 'THUMPD3-AS1', 'CHROMR', 'SNHG20', 'ATP6V1B1-AS1', 'MEG8', 'OXR1', 'KTN1-AS1', 'SNHG6', 'HOXA10-AS', 'PCF11-AS1', 'LINC01915', 'LINC01689', 'PRMT5-DT', 'LINC00882', 'LINC01703', 'MAP4K3-DT', 'LINC00511', 'LINC-PINT', 'SNHG29', 'TTC28-AS1', 'PRR7-AS1', 'TSPOAP1-AS1', 'FGD5-AS1', 'LINC00960', 'LINC00661', 'SNHG15', 'PSMA3-AS1', 'SCARNA9', 'LINC00525', 'RNF139-DT', 'LINC02616']",2,10,50
217,Idiopathic dilated cardiomyopathy,"['FGD5-AS1', 'HCG18']","['LINC00630', 'AGBL4-IT1', 'MUC20-OT1', 'TMPO-AS1', 'RASA3-IT1', 'CEROX1', 'KRTAP5-AS1', 'DISP1', 'LINC02397', 'ESAM-AS1', 'SNHG12', 'UBL7-DT', 'SORL1-AS1', 'MELTF-AS1', 'LINC01783', 'MIR3936HG', 'LINC02820', 'GNAS-AS1', 'LINC00242', 'CHROMR', 'THUMPD3-AS1', 'SNHG20', 'OXR1', 'ATP6V1B1-AS1', 'SNHG6', 'MEG8', 'KTN1-AS1', 'PCF11-AS1', 'HOXA10-AS', 'PRMT5-DT', 'LINC01689', 'LINC01915', 'LINC00882', 'MAP4K3-DT', 'LINC-PINT', 'PRR7-AS1', 'LINC00511', 'TTC28-AS1', 'SNHG29', 'LINC01703', 'TSPOAP1-AS1', 'SNHG15', 'FGD5-AS1', 'LINC00960', 'PSMA3-AS1', 'LINC00525', 'SCARNA9', 'RNF139-DT', 'LINC00661', 'ZNF790-AS1']",1,2,50
