lncRNA,disease
RAD51-AS1,Esophageal Cancer
RAD51-AS1,Glioblastoma
RAD51-AS1,Hepatocellular Carcinoma
SH3BP5-AS1,Astrocytoma
SH3BP5-AS1,Esophageal Cancer
SH3BP5-AS1,Lung Adenocarcinoma
SH3BP5-AS1,Neuroblastoma
SH3BP5-AS1,Osteoarthritis
SH3BP5-AS1,Pancreatic Cancer
SH3BP5-AS1,Periodontitis
SH3BP5-AS1,Thyroid Cancer
SH3BP5-AS1,Ulcerative Colitis
CARD8-AS1,COVID-19
CARD8-AS1,Esophageal Cancer
CARD8-AS1,Leukemia
CARD8-AS1,Lung Adenocarcinoma
CARD8-AS1,Neuroblastoma
CARD8-AS1,Non-Small Cell Lung Cancer
CARD8-AS1,Periodontitis
MAGI2-AS3,Acute Myeloid Leukemia
MAGI2-AS3,Alzheimer Disease
MAGI2-AS3,Asthma
MAGI2-AS3,Bladder Cancer
MAGI2-AS3,Breast Cancer
MAGI2-AS3,Cell Renal Cell Carcinoma
MAGI2-AS3,Cervical Cancer
MAGI2-AS3,Cervical Squamous Cell Carcinoma
MAGI2-AS3,Clear Cell Renal Cell Carcinoma
MAGI2-AS3,Colorectal Cancer
MAGI2-AS3,Cutaneous Melanoma
MAGI2-AS3,Esophageal Cancer
MAGI2-AS3,Gastric Cancer
MAGI2-AS3,Gastrointestinal Cancer
MAGI2-AS3,Glioblastoma
MAGI2-AS3,Glioblastoma Multiforme
MAGI2-AS3,Glioma
MAGI2-AS3,Hepatocellular Carcinoma
MAGI2-AS3,Intervertebral Disc Degeneration
MAGI2-AS3,Lung Cancer
MAGI2-AS3,Lung Squamous Cell Carcinoma
MAGI2-AS3,Melanoma
MAGI2-AS3,Nasopharynx Carcinoma
MAGI2-AS3,Non-Small Cell Lung Cancer
MAGI2-AS3,Non Small Cell Lung Cancer
MAGI2-AS3,Ovarian Cancer
MAGI2-AS3,Prostate Cancer
SOS1-IT1,Endometrial Cancer
LUCAT1,Abdominal Aortic Aneurysm
LUCAT1,Acute Myeloid Leukemia
LUCAT1,Acute Myocardial Infarction
LUCAT1,Bladder Cancer
LUCAT1,Breast Cancer
LUCAT1,Cancer
LUCAT1,Cervical Cancer
LUCAT1,Choroidal Melanoma
LUCAT1,Clear Cell Renal Cell Carcinoma
LUCAT1,Colorectal Cancer
LUCAT1,COVID-19
LUCAT1,Esophageal Adenocarcinoma
LUCAT1,Esophageal Cancer
LUCAT1,Esophageal Squamous Cell Cancer
LUCAT1,Esophagus Squamous Cell Carcinoma
LUCAT1,Gastric Cancer
LUCAT1,Glioblastoma
LUCAT1,Glioma
LUCAT1,Head And Neck Squamous Cell Carcinoma
LUCAT1,Hepatoblastoma
LUCAT1,Hepatocellular Carcinoma
LUCAT1,Laryngeal Squamous Cell Carcinoma
LUCAT1,Liver Cancer
LUCAT1,Lung Adenocarcinoma
LUCAT1,Lung Cancer
LUCAT1,Lung Non-Small Cell Carcinoma
LUCAT1,Multiple Myeloma
LUCAT1,Muscle-Invasive Bladder Cancer
LUCAT1,Non-Small Cell Lung Cancer
LUCAT1,Oral Squamous Cell Carcinoma
LUCAT1,Osteosarcoma
LUCAT1,Ovarian Cancer
LUCAT1,Pancreatic Cancer
LUCAT1,Pancreatic Ductal Adenocarcinoma
LUCAT1,Papillary Thyroid Cancer
LUCAT1,Prostate Cancer
LUCAT1,Renal Cell Carcinoma
LUCAT1,Renal Fibrosis
LUCAT1,Thoracic Aortic Aneurysm
LUCAT1,Thyroid Anaplastic Carcinoma
LUCAT1,Thyroid Cancer
LUCAT1,Thyroid Carcinoma
LUCAT1,Tongue Squamous Cell Carcinoma
LUCAT1,Triple-Negative Breast Cancer
PTOV1-AS1,Esophageal Cancer
PTOV1-AS1,Osteosarcoma
RBFADN,Gastric Cancer
RBFADN,Periodontitis
LINC00963,Acute Myeloid Leukemia
LINC00963,Breast Cancer
LINC00963,Clear Cell Renal Cell Carcinoma
LINC00963,Colorectal Cancer
LINC00963,COVID-19
LINC00963,Cutaneous Squamous Cell Carcinoma
LINC00963,Diabetic Retinopathy
LINC00963,Diffuse Large B-Cell Lymphoma
LINC00963,Esophageal Cancer
LINC00963,Esophagus Squamous Cell Carcinoma
LINC00963,Glioblastoma
LINC00963,Glioma
LINC00963,Head And Neck Cancer
LINC00963,Lung Cancer
LINC00963,Malignant Glioma
LINC00963,Melanoma
LINC00963,Non-Small Cell Lung Cancer
LINC00963,Oral Cancer
LINC00963,Osteosarcoma
LINC00963,Ovarian Cancer
LINC00963,Papillary Thyroid Cancer
LINC00963,Prostate Cancer
LINC00963,Renal Cell Carcinoma
LINC00958,Bladder Cancer
LINC00958,Breast Cancer
LINC00958,Cervical Cancer
LINC00958,Colorectal Cancer
LINC00958,Endometrial Carcinoma
LINC00958,Esophageal Cancer
LINC00958,Gastric Cancer
LINC00958,Glioma
LINC00958,Head And Neck Squamous Cell Carcinoma
LINC00958,Hepatocellular Carcinoma
LINC00958,Intervertebral Disc Degeneration
LINC00958,Lung Adenocarcinoma
LINC00958,Nasopharynx Cancer
LINC00958,Nasopharynx Carcinoma
LINC00958,Neck Squamous Cell Carcinoma
LINC00958,Non-Small Cell Lung Cancer
LINC00958,Non Small Cell Lung Cancer
LINC00958,Oral Squamous Cell Carcinoma
LINC00958,Osteosarcoma
LINC00958,Pancreatic Cancer
LINC00958,Thyroid Cancer
LINC00958,Urinary Bladder Cancer
HOTAIRM1,Acute Myeloid Leukemia
HOTAIRM1,Acute Promyelocytic Leukemia
HOTAIRM1,Anaplastic Thyroid Cancer
HOTAIRM1,Astrocytoma
HOTAIRM1,Atrial Fibrillation
HOTAIRM1,Bladder Cancer
HOTAIRM1,Breast Cancer
HOTAIRM1,Cell Renal Cell Carcinoma
HOTAIRM1,Clear Cell Renal Cell Carcinoma
HOTAIRM1,Colorectal Cancer
HOTAIRM1,Colorectal Carcinoma
HOTAIRM1,COVID-19
HOTAIRM1,Diabetic Nephropathy
HOTAIRM1,Esophageal Cancer
HOTAIRM1,Gastric Cancer
HOTAIRM1,Glioblastoma
HOTAIRM1,Glioblastoma Multiforme
HOTAIRM1,Glioma
HOTAIRM1,Head And Neck Cancer
HOTAIRM1,Hepatitis C
HOTAIRM1,Hepatocellular Carcinoma
HOTAIRM1,HIV
HOTAIRM1,Leukemia
HOTAIRM1,Liver Cancer
HOTAIRM1,Lung Adenocarcinoma
HOTAIRM1,Lung Cancer
HOTAIRM1,Malignant Glioma
HOTAIRM1,Melanoma
HOTAIRM1,Non-Small Cell Lung Cancer
HOTAIRM1,Non Small Cell Lung Cancer
HOTAIRM1,Osteoarthritis
HOTAIRM1,Osteoporosis
HOTAIRM1,Ovarian Cancer
HOTAIRM1,Pancreatic Ductal Adenocarcinoma
HOTAIRM1,Papillary Thyroid Cancer
HOTAIRM1,Papillary Thyroid Carcinoma
HOTAIRM1,Parkinson Disease
HOTAIRM1,Periodontitis
HOTAIRM1,Polycystic Ovary Syndrome
HOTAIRM1,Prostate Cancer
HOTAIRM1,Thyroid Cancer
HOTAIRM1,Uveal Melanoma
LINC00649,Acute Myeloid Leukemia
LINC00649,Ankylosing Spondylitis
LINC00649,Astrocytoma
LINC00649,Bladder Cancer
LINC00649,Inflammatory Bowel Disease
LINC00649,Muscle-Invasive Bladder Cancer
LINC00649,Prostate Cancer
LINC00649,Rheumatoid Arthritis
LINC00649,Sepsis
OTUD6B-AS1,Astrocytoma
OTUD6B-AS1,Bladder Cancer
OTUD6B-AS1,Breast Cancer
OTUD6B-AS1,Clear Cell Renal Cell Carcinoma
OTUD6B-AS1,Colorectal Cancer
OTUD6B-AS1,Esophageal Cancer
OTUD6B-AS1,Osteosarcoma
OTUD6B-AS1,Systemic Scleroderma
OTUD6B-AS1,Thyroid Cancer
OTUD6B-AS1,Thyroid Carcinoma
CBR3-AS1,Bladder Cancer
CBR3-AS1,Breast Cancer
CBR3-AS1,Carcinoma
CBR3-AS1,Colorectal Cancer
CBR3-AS1,Esophageal Cancer
CBR3-AS1,Esophageal Squamous Cell Cancer
CBR3-AS1,Esophagus Squamous Cell Carcinoma
CBR3-AS1,Gastric Cancer
CBR3-AS1,Glioma
CBR3-AS1,Hepatocellular Cancer
CBR3-AS1,Hepatocellular Carcinoma
CBR3-AS1,Inflammatory Bowel Disease
CBR3-AS1,Non-Small Cell Lung Cancer
CBR3-AS1,Osteosarcoma
CBR3-AS1,Periodontitis
CBR3-AS1,Prostate Cancer
CBR3-AS1,Prostate Neoplasm
CBR3-AS1,Retinoblastoma
CBR3-AS1,Rheumatoid Arthritis
CBR3-AS1,Squamous Cell Carcinoma
CBR3-AS1,Stomach Cancer
RASSF8-AS1,Acute Myeloid Leukemia
RASSF8-AS1,Cervical Cancer
RASSF8-AS1,Esophageal Cancer
RASSF8-AS1,Laryngeal Squamous Cell Carcinoma
RASSF8-AS1,Periodontitis
TMEM147-AS1,Astrocytoma
TMEM147-AS1,Bladder Cancer
LIFR-AS1,Breast Cancer
LIFR-AS1,Colorectal Cancer
LIFR-AS1,Esophageal Adenocarcinoma
LIFR-AS1,Esophageal Cancer
LIFR-AS1,Gastric Cancer
LIFR-AS1,Gastric Carcinoma
LIFR-AS1,Gastric Tumor
LIFR-AS1,Papillary Renal Cell Carcinoma
LIFR-AS1,Psoriasis
LIFR-AS1,Thyroid Cancer
IQCH-AS1,COVID-19
IQCH-AS1,Pancreatic Ductal Adenocarcinoma
IQCH-AS1,Thyroid Cancer
PCAT6,Bladder Cancer
PCAT6,Breast Cancer
PCAT6,Cervical Cancer
PCAT6,Cholangiocarcinoma
PCAT6,Colon Adenocarcinoma
PCAT6,Colon Cancer
PCAT6,Colorectal Cancer
PCAT6,Esophageal Cancer
PCAT6,Gastric Cancer
PCAT6,Gastrointestinal Stromal Tumor
PCAT6,Glioblastoma
PCAT6,Hepatocellular Carcinoma
PCAT6,Intrahepatic Cholangiocarcinoma
PCAT6,Lung Cancer
PCAT6,Lung Non-Small Cell Carcinoma
PCAT6,Lung Squamous Cell Carcinoma
PCAT6,Non-Small Cell Lung Cancer
PCAT6,Non Small Cell Lung Cancer
PCAT6,Osteosarcoma
PCAT6,Ovarian Cancer
PCAT6,Pancreatic Cancer
PCAT6,Pancreatic Ductal Adenocarcinoma
PCAT6,Pituitary Adenoma
PCAT6,Prostate Cancer
PCAT6,Prostate Neoplasm
PCAT6,Triple-Negative Breast Cancer
TTN-AS1,Breast Cancer
TTN-AS1,Cervical Cancer
TTN-AS1,Cholangiocarcinoma
TTN-AS1,Colorectal Adenocarcinoma
TTN-AS1,Colorectal Cancer
TTN-AS1,COVID-19
TTN-AS1,Diabetic Nephropathy
TTN-AS1,Endometrial Cancer
TTN-AS1,Esophageal Cancer
TTN-AS1,Esophagus Squamous Cell Carcinoma
TTN-AS1,Gallbladder Carcinoma
TTN-AS1,Gastric Cancer
TTN-AS1,Glioblastoma
TTN-AS1,Glioma
TTN-AS1,Hepatocellular Carcinoma
TTN-AS1,Lung Adenocarcinoma
TTN-AS1,Melanoma
TTN-AS1,Non-Small Cell Lung Cancer
TTN-AS1,Oral Squamous Cell Carcinoma
TTN-AS1,Osteosarcoma
TTN-AS1,Ovarian Cancer
TTN-AS1,Pancreatic Cancer
TTN-AS1,Papillary Thyroid Cancer
TTN-AS1,Papillary Thyroid Carcinoma
TTN-AS1,Prostate Cancer
TTN-AS1,Skin Cutaneous Melanoma
TTN-AS1,Thyroid Cancer
TTN-AS1,Triple-Negative Breast Cancer
DAPK1-IT1,Asthma
DAPK1-IT1,Esophageal Cancer
DAPK1-IT1,Periodontitis
LINC00665,Breast Cancer
LINC00665,Cervical Cancer
LINC00665,Cholangiocarcinoma
LINC00665,Colorectal Cancer
LINC00665,Endometrial Carcinoma
LINC00665,Esophageal Cancer
LINC00665,Gastric Cancer
LINC00665,Glioblastoma
LINC00665,Glioma
LINC00665,Hepatocellular Carcinoma
LINC00665,High-Grade Serous Ovarian Cancer
LINC00665,Lung Adenocarcinoma
LINC00665,Lung Non-Small Cell Carcinoma
LINC00665,Melanoma
LINC00665,Non-Small Cell Lung Cancer
LINC00665,Non Small Cell Lung Cancer
LINC00665,Osteosarcoma
LINC00665,Ovarian Cancer
LINC00665,Prostate Cancer
LINC00665,Systemic Sclerosis
LINC00665,T-Cell Acute Lymphoblastic Leukemia
PTPRG-AS1,Astrocytoma
PTPRG-AS1,Breast Cancer
PTPRG-AS1,COVID-19
PTPRG-AS1,Epithelial Ovarian Cancer
PTPRG-AS1,Esophageal Cancer
PTPRG-AS1,Gastric Cancer
PTPRG-AS1,Glioblastoma
PTPRG-AS1,Nasopharynx Cancer
PTPRG-AS1,Nasopharynx Carcinoma
PTPRG-AS1,Non-Small Cell Lung Cancer
PTPRG-AS1,Osteosarcoma
TUNAR,Astrocytoma
TUNAR,Breast Cancer
TUNAR,Glioma
TUNAR,Huntington's Disease
TUNAR,Medulloblastoma
TUNAR,Pancreatic Cancer
PSMD6-AS2,Periodontitis
PSMD6-AS2,Thyroid Cancer
DLG1-AS1,Astrocytoma
DLG1-AS1,Cervical Cancer
DLG1-AS1,Hepatocellular Carcinoma
DLG1-AS1,Papillary Thyroid Cancer
DLG1-AS1,Papillary Thyroid Carcinoma
LINC00707,Bladder Cancer
LINC00707,Breast Cancer
LINC00707,Clear Cell Renal Cell Carcinoma
LINC00707,Colorectal Cancer
LINC00707,Esophageal Cancer
LINC00707,Gastric Cancer
LINC00707,Glioblastoma
LINC00707,Glioma
LINC00707,Hepatocellular Carcinoma
LINC00707,Lung Adenocarcinoma
LINC00707,Melanoma
LINC00707,Non-Small Cell Lung Cancer
LINC00707,Non Small Cell Lung Cancer
LINC00707,Osteosarcoma
LINC00707,Ovarian Cancer
LINC00707,Pneumonia
SNHG16,Acute Lymphoblastic Leukemia
SNHG16,Atherosclerosis
SNHG16,Atrial Fibrillation
SNHG16,Bladder Cancer
SNHG16,Breast Cancer
SNHG16,Cancer
SNHG16,Cervical Cancer
SNHG16,Cholangiocarcinoma
SNHG16,Clear Cell Renal Cell Carcinoma
SNHG16,Colon Adenocarcinoma
SNHG16,Colon Cancer
SNHG16,Colorectal Cancer
SNHG16,Coronary Heart Disease
SNHG16,COVID-19
SNHG16,Diabetic Retinopathy
SNHG16,Diffuse Large B-Cell Lymphoma
SNHG16,Endometrial Cancer
SNHG16,Endometrial Carcinoma
SNHG16,Epilepsy
SNHG16,Esophageal Cancer
SNHG16,Esophageal Squamous Cell Cancer
SNHG16,Esophagus Squamous Cell Carcinoma
SNHG16,Gastric Cancer
SNHG16,Glioblastoma
SNHG16,Glioma
SNHG16,Hemangioma
SNHG16,Hepatocellular Carcinoma
SNHG16,Laryngeal Squamous Cell Carcinoma
SNHG16,Leukemia
SNHG16,Liver Cancer
SNHG16,Lung Non-Small Cell Carcinoma
SNHG16,Lymphoma
SNHG16,Major Depressive Disorder
SNHG16,Malignant Glioma
SNHG16,Melanoma
SNHG16,Multiple Myeloma
SNHG16,Muscle-Invasive Bladder Cancer
SNHG16,Myasthenia Gravis
SNHG16,Nasopharynx Carcinoma
SNHG16,Neuroblastoma
SNHG16,Non-Small Cell Lung Cancer
SNHG16,Non Small Cell Lung Cancer
SNHG16,Oral Squamous Cell Carcinoma
SNHG16,Osteoarthritis
SNHG16,Osteosarcoma
SNHG16,Ovarian Cancer
SNHG16,Pancreatic Adenocarcinoma
SNHG16,Pancreatic Cancer
SNHG16,Papillary Renal Cell Carcinoma
SNHG16,Papillary Thyroid Cancer
SNHG16,Papillary Thyroid Carcinoma
SNHG16,Pneumonia
SNHG16,Pre-Eclampsia
SNHG16,Prostate Cancer
SNHG16,Prostate Carcinoma
SNHG16,Retinoblastoma
SNHG16,Stomach Cancer
SNHG16,Systemic Sclerosis
SNHG16,Thyroid Cancer
SNHG16,Type 2 Diabetes Mellitus
SNHG16,Urinary Bladder Cancer
SNHG16,Urothelial Carcinoma
SNHG16,Wilms Tumor
VIM-AS1,Astrocytoma
VIM-AS1,Breast Cancer
VIM-AS1,Colorectal Cancer
VIM-AS1,COVID-19
VIM-AS1,Diabetic Retinopathy
VIM-AS1,Endometrial Cancer
VIM-AS1,Esophageal Cancer
VIM-AS1,Gastric Cancer
VIM-AS1,Glioblastoma
VIM-AS1,Glioma
VIM-AS1,Lung Adenocarcinoma
VIM-AS1,Pre-Eclampsia
VIM-AS1,Type 2 Diabetes Mellitus
INTS6-AS1,Esophageal Cancer
INTS6-AS1,Periodontitis
PSMB8-AS1,Astrocytoma
PSMB8-AS1,Bladder Cancer
PSMB8-AS1,Esophageal Cancer
PSMB8-AS1,Glioblastoma
PSMB8-AS1,Glioma
PSMB8-AS1,Non-Small Cell Lung Cancer
PSMB8-AS1,Ovarian Cancer
PSMB8-AS1,Pancreatic Cancer
PSMB8-AS1,Periodontitis
PSMB8-AS1,Systemic Sclerosis
SDCBP2-AS1,Astrocytoma
SDCBP2-AS1,Bladder Cancer
SDCBP2-AS1,Ovarian Cancer
SDCBP2-AS1,Thyroid Cancer
NNT-AS1,Bladder Cancer
NNT-AS1,Breast Cancer
NNT-AS1,Cell Renal Cell Carcinoma
NNT-AS1,Cervical Cancer
NNT-AS1,Cholangiocarcinoma
NNT-AS1,Chronic Obstructive Pulmonary Disease
NNT-AS1,Colorectal Cancer
NNT-AS1,COVID-19
NNT-AS1,Esophageal Cancer
NNT-AS1,Gastric Cancer
NNT-AS1,Glioblastoma Multiforme
NNT-AS1,Glioma
NNT-AS1,Hepatocellular Carcinoma
NNT-AS1,Lung Adenocarcinoma
NNT-AS1,Lung Cancer
NNT-AS1,Lung Non-Small Cell Carcinoma
NNT-AS1,Lung Squamous Cell Carcinoma
NNT-AS1,Melanoma
NNT-AS1,Non-Small Cell Lung Cancer
NNT-AS1,Non Small Cell Lung Cancer
NNT-AS1,Osteosarcoma
NNT-AS1,Ovarian Cancer
NNT-AS1,Pancreatic Cancer
NNT-AS1,Papillary Thyroid Cancer
NNT-AS1,Periodontitis
NNT-AS1,Prostate Cancer
NNT-AS1,Pulmonary Artery Hypertension
NNT-AS1,Renal Cell Carcinoma
CERS6-AS1,Breast Cancer
CERS6-AS1,Esophageal Cancer
CERS6-AS1,Glioblastoma
CERS6-AS1,Pancreatic Cancer
CERS6-AS1,Pancreatic Ductal Adenocarcinoma
PINK1-AS,Astrocytoma
PINK1-AS,Breast Cancer
PINK1-AS,COVID-19
PINK1-AS,Diabetes Mellitus
PINK1-AS,Gastric Cancer
PINK1-AS,Multiple Sclerosis
PINK1-AS,Osteoarthritis
PINK1-AS,Parkinson Disease
TM4SF19-AS1,Esophageal Cancer
TM4SF19-AS1,Oligodendroglioma
ERI3-IT1,Esophageal Cancer
ERI3-IT1,Thyroid Cancer
ALMS1-IT1,Esophageal Cancer
ALMS1-IT1,Lung Adenocarcinoma
KCNH1-IT1,Esophageal Cancer
SIK3-IT1,Esophageal Cancer
SIK3-IT1,Thyroid Cancer
HOXA10-AS,Acute Myeloid Leukemia
HOXA10-AS,Esophageal Cancer
HOXA10-AS,Gastric Cancer
HOXA10-AS,Glioma
HOXA10-AS,Lung Adenocarcinoma
HOXA10-AS,Malignant Glioma
HOXA10-AS,Non-Alcoholic Fatty Liver
HOXA10-AS,Oral Squamous Cell Carcinoma
UGDH-AS1,Esophageal Cancer
LINC01356,COVID-19
LINC01356,Esophageal Cancer
LINC01356,Thyroid Cancer
NUTM2B-AS1,Esophageal Cancer
NUTM2B-AS1,Hepatocellular Carcinoma
NUTM2B-AS1,Periodontitis
CASC9,Bladder Cancer
CASC9,Breast Cancer
CASC9,Cervical Cancer
CASC9,Colorectal Cancer
CASC9,COVID-19
CASC9,Esophageal Cancer
CASC9,Esophageal Squamous Cell Cancer
CASC9,Esophagus Squamous Cell Carcinoma
CASC9,Gastric Cancer
CASC9,Glioblastoma
CASC9,Glioma
CASC9,Head And Neck Squamous Cell Carcinoma
CASC9,Hemangioma
CASC9,Hepatocellular Carcinoma
CASC9,Laryngeal Cancer
CASC9,Laryngeal Carcinoma
CASC9,Lung Adenocarcinoma
CASC9,Lung Cancer
CASC9,Lung Non-Small Cell Carcinoma
CASC9,Lung Squamous Cell Carcinoma
CASC9,Nasopharynx Cancer
CASC9,Nasopharynx Carcinoma
CASC9,Non-Small Cell Lung Cancer
CASC9,Oral Squamous Cell Carcinoma
CASC9,Ovarian Cancer
CASC9,Pancreatic Ductal Adenocarcinoma
CASC9,Papillary Thyroid Cancer
CASC9,Retinoblastoma
CASC9,Salivary Adenoid Cystic Carcinoma
CASC9,Sepsis
CASC9,Squamous Cell Carcinoma
CASC9,Stomach Cancer
CASC9,Thyroid Cancer
CASC9,Tongue Squamous Cell Carcinoma
SRGAP3-AS2,Breast Cancer
SRGAP3-AS2,Lung Adenocarcinoma
SRGAP3-AS2,Lung Squamous Cell Carcinoma
ZNF793-AS1,Esophageal Cancer
ZNF793-AS1,Glioma
ATP6V1B1-AS1,Glioblastoma
ATP6V1B1-AS1,Head And Neck Squamous Cell Carcinoma
GRK5-IT1,Thyroid Cancer
EDRF1-AS1,COVID-19
LINC01227,Esophageal Cancer
LINC01227,Hypertension
NALT1,Acute Lymphoblastic Leukemia
NALT1,Bladder Cancer
NALT1,Gastric Cancer
NALT1,Precursor Cell Lymphoblastic Leukemia-Lymphoma
NALT1,T-Cell Acute Lymphoblastic Leukemia
OR2A1-AS1,Esophageal Cancer
OR2A1-AS1,Glioblastoma
OR2A1-AS1,Thyroid Cancer
CATIP-AS1,Esophageal Cancer
CATIP-AS1,Periodontitis
CATIP-AS1,Thyroid Cancer
LINC01537,Esophageal Cancer
LINC01537,Laryngeal Squamous Cell Cancer
LINC01537,Laryngeal Squamous Cell Carcinoma
LINC01537,Lung Adenocarcinoma
LINC01537,Lung Cancer
RAP2C-AS1,Adolescent Idiopathic Scoliosis
RAP2C-AS1,Esophageal Cancer
TRPM2-AS,Bladder Cancer
TRPM2-AS,Breast Cancer
TRPM2-AS,Colon Adenocarcinoma
TRPM2-AS,Colorectal Cancer
TRPM2-AS,Gastric Cancer
TRPM2-AS,Glioblastoma
TRPM2-AS,Glioma
TRPM2-AS,Hepatocellular Carcinoma
TRPM2-AS,Lung Adenocarcinoma
TRPM2-AS,Lung Non-Small Cell Carcinoma
TRPM2-AS,Melanoma
TRPM2-AS,Multiple Sclerosis
TRPM2-AS,Non-Small Cell Lung Cancer
TRPM2-AS,Ovarian Cancer
TRPM2-AS,Prostate Cancer
TRPM2-AS,Retinoblastoma
TRPM2-AS,Thyroid Cancer
LINC01448,COVID-19
EXTL3-AS1,Astrocytoma
EXTL3-AS1,Esophageal Cancer
MIR133A1HG,Esophageal Cancer
MIR133A1HG,Oral Squamous Cell Carcinoma
ZNF30-AS1,Thyroid Cancer
SVIL-AS1,Esophageal Cancer
SVIL-AS1,Lung Non-Small Cell Carcinoma
SVIL-AS1,Non-Small Cell Lung Cancer
SVIL-AS1,Rheumatoid Arthritis
LINC01393,Esophageal Cancer
ZNF337-AS1,COVID-19
ZNF337-AS1,Esophageal Cancer
LINC01036,Esophageal Cancer
LINC01036,Non-Alcoholic Fatty Liver
LINC01224,Astrocytoma
LINC01224,Breast Cancer
LINC01224,Colorectal Cancer
LINC01224,Esophageal Adenocarcinoma
LINC01224,Gastric Cancer
LINC01224,Hepatocellular Carcinoma
LINC01224,High-Grade Serous Ovarian Cancer
LINC01224,Lung Adenocarcinoma
LINC01224,Periodontitis
LINC01224,Thyroid Cancer
LINC00680,Esophageal Cancer
LINC00680,Glioblastoma
LINC00680,Hepatocellular Carcinoma
LINC00680,Lung Adenocarcinoma
LINC00680,Sarcoma
LINC00680,Systemic Lupus Erythematosus
PCF11-AS1,Hepatocellular Cancer
HCP5,Acquired Aplastic Anemia
HCP5,Acquired Immunodeficiency Syndrome
HCP5,Acute Myeloid Leukemia
HCP5,Allergic Rhinitis
HCP5,Anaplastic Thyroid Cancer
HCP5,Ankylosing Spondylitis
HCP5,Bladder Cancer
HCP5,Breast Cancer
HCP5,Cervical Cancer
HCP5,Clear Cell Renal Cell Carcinoma
HCP5,Colorectal Cancer
HCP5,Cutaneous Melanoma
HCP5,Cutaneous Squamous Cell Carcinoma
HCP5,Diabetic Nephropathy
HCP5,Diffuse Large B-Cell Lymphoma
HCP5,Esophageal Cancer
HCP5,Esophagus Squamous Cell Carcinoma
HCP5,Follicular Thyroid Carcinoma
HCP5,Gastric Cancer
HCP5,Gastric Carcinoma
HCP5,Glioma
HCP5,Hepatocellular Carcinoma
HCP5,Lung Adenocarcinoma
HCP5,Melanoma
HCP5,Multiple Myeloma
HCP5,Muscle-Invasive Bladder Cancer
HCP5,Neuroblastoma
HCP5,Non-Small Cell Lung Cancer
HCP5,Non Small Cell Lung Cancer
HCP5,Oral Cancer
HCP5,Oral Squamous Cell Carcinoma
HCP5,Osteoarthritis
HCP5,Osteosarcoma
HCP5,Ovarian Cancer
HCP5,Pancreatic Cancer
HCP5,Polycystic Ovary Syndrome
HCP5,Premature Ovarian Failure
HCP5,Prostate Cancer
HCP5,Pulmonary Artery Hypertension
HCP5,Skin Cutaneous Melanoma
HCP5,Triple-Negative Breast Cancer
HCP5,Uveal Melanoma
KCNQ1OT1,Acute Myeloid Leukemia
KCNQ1OT1,Acute Myocardial Infarction
KCNQ1OT1,Acute Promyelocytic Leukemia
KCNQ1OT1,Asthma
KCNQ1OT1,Astrocytoma
KCNQ1OT1,Atherosclerosis
KCNQ1OT1,Bladder Cancer
KCNQ1OT1,Breast Cancer
KCNQ1OT1,Bronchial Asthma
KCNQ1OT1,Cardiomyopathy
KCNQ1OT1,Cataract
KCNQ1OT1,Cholangiocarcinoma
KCNQ1OT1,Colon Adenocarcinoma
KCNQ1OT1,Colon Cancer
KCNQ1OT1,Colorectal Cancer
KCNQ1OT1,Coronary Artery Disease
KCNQ1OT1,Cryptorchidism
KCNQ1OT1,Diabetic Cataract
KCNQ1OT1,Diabetic Nephropathy
KCNQ1OT1,Epilepsy
KCNQ1OT1,Esophageal Cancer
KCNQ1OT1,Esophagus Squamous Cell Carcinoma
KCNQ1OT1,Fracture
KCNQ1OT1,Gastric Cancer
KCNQ1OT1,Glioblastoma
KCNQ1OT1,Glioma
KCNQ1OT1,Hepatocellular Cancer
KCNQ1OT1,Hepatocellular Carcinoma
KCNQ1OT1,Kidney Cancer
KCNQ1OT1,Lung Adenocarcinoma
KCNQ1OT1,Lung Cancer
KCNQ1OT1,Lung Non-Small Cell Carcinoma
KCNQ1OT1,Maxillary Sinus Squamous Cell Carcinoma
KCNQ1OT1,Melanoma
KCNQ1OT1,Myocardial Infarction
KCNQ1OT1,Nasopharynx Carcinoma
KCNQ1OT1,Neuroblastoma
KCNQ1OT1,Non-Small Cell Lung Cancer
KCNQ1OT1,Non Small Cell Lung Cancer
KCNQ1OT1,Oral Squamous Cell Carcinoma
KCNQ1OT1,Osteoarthritis
KCNQ1OT1,Osteomyelitis
KCNQ1OT1,Osteoporosis
KCNQ1OT1,Osteosarcoma
KCNQ1OT1,Ovarian Cancer
KCNQ1OT1,Papillary Thyroid Cancer
KCNQ1OT1,Parkinson Disease
KCNQ1OT1,Pituitary Adenoma
KCNQ1OT1,Pneumonia
KCNQ1OT1,Prostate Cancer
KCNQ1OT1,Renal Cell Carcinoma
KCNQ1OT1,Seizure
KCNQ1OT1,Stomach Cancer
KCNQ1OT1,Systemic Lupus Erythematosus
KCNQ1OT1,Thyroid Cancer
KCNQ1OT1,Tongue Cancer
KCNQ1OT1,Tongue Squamous Cell Carcinoma
KCNQ1OT1,Triple-Negative Breast Cancer
TP53TG1,Ataxia Telangiectasia
TP53TG1,Breast Cancer
TP53TG1,Cancer
TP53TG1,Colon Cancer
TP53TG1,Colorectal Cancer
TP53TG1,Gastric Cancer
TP53TG1,Glioblastoma Multiforme
TP53TG1,Glioma
